worldcom boss  left books alone  former worldcom boss bernie ebbers  who is accused of overseeing an $11bn (£5,,,,,,,,,,,,,, worldcom s problems mounted  however  as competition increased and the telecoms boom petered out, when the firm finally collapsed  shareholders lost about $180bn and 20 000 workers lost their jobs, mr ebbers  trial is expected to last two months and if found guilty the former ceo faces a substantial jail sentence, he has firmly declared his innocence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7bn ($10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 the two telegraph titles currently employ 521 journalists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 the firm is the largest utility company in india  and the sixth largest power producer in the world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 nevertheless  one of mr bakrie s deputies  mahendra siregar  told afp news agency that indonesia was still considering the offer by the paris club of rich creditor nations to temporarily suspend its debt payments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 yukos has been presented with a $27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 previously it has encouraged construction of new electricity generating capacity to solve chronic energy shortages  which forced many factories into part-time working last year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 however  mr jeffrey said he believed the slowdown in economic activity was temporary and it was dangerous to assume that rates had peaked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 the us consumer s appetite for all things from oil to imported cars  and even wine and cheese  reached record levels last year and the figures are likely to spark fresh criticism of president bush s economic policies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 however  gm stressed that it did not know of any injuries related to the problems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6% to 966m rupees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   elsewhere  a refinery in houston was closed due to mechanical problems  while on tuesday production at bp s texas city refinery was taken down for a short time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  disappointing business figures from chicago triggered the us currency s weakness on thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 however  some large properties are paying less in tax as they are situated inside poor areas  which benefit from cheaper utilities such as electricity and water  government research found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  germany s economy grew 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the calendar year is starting off slower than expected  both for gm and the industry   said mark laneve  gm s vice president for north american sales  service and marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the easyjet founder also said he planned to add a disclaimer to the easygroup website to ensure customers are aware the easymobile brand has no connection to orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 for january  implying gdp growth at 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the figures  representing a decline from the 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4bn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 since the formation of the premier league in season 1992/93  premiership clubs have seen their income from television soar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the lse rejected deutsche boerse s proposed £1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 even now  a growing share of us borrowing is from abroad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 but a deal with either bidder would create the biggest stock market operator in europe and the second biggest in the world after the new york stock exchange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 since the start of the year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ibm pioneered the desktop pc market in the early 1980s  although strategic mis-steps helped lose it its early dominance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  it has always been preferable that any differences between the us and europe on this matter be overcome through constructive discussion rather than through legal recourse   the companies said in a joint statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 analysts said the economy was still not growing fast enough to stimulate large-scale job creation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 heineken said it now plans to invest 100m euros in  aggressive  and  high-impact  marketing in europe and the us in 2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 the joint venture was established in may 2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 aggressive tactics  such as one-day discount sales adopted by stores such as marks & spencer  appear to have paid off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  if the indian deals go ahead  it will give holcim a major presence in the world s fastest-growing market behind china,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   manufacturing is a cyclical area of the economy and if it s showing job growth  it s a good indication that the economy is on a solid growth track,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   boeing has the latest variant in a very successful line of airplanes and there is no doubt it will continue to be very successful   said david learmount  operations and safety editor at industry magazine flight international,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 mr gammell is a former scottish international rugby player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  at the end of the day we are dealing with compensation for people who are terminally ill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1% from 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4bn) loss in 2000 into a 331bn yen ($2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 on wednesday  yukos will also seek further legal remedies to prevent the break-up of the group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 the boix-vives family is thought to have spent the past couple of years sounding out possible suitors for rossignol  which also makes golf equipment  snowboards and sports clothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 the increase has put it on the same level as romania  egypt and el salvador  and one level below russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 under stock market rules  mr murray is required to make an offer for the remaining shares that he does not already own at the same price paid for the bskyb holding of 31p a share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 kfb is south korea s seventh largest bank  with 3 million retail customers  6% of the country s banking market and an extensive branch network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 coal has now totally vanished and textiles are struggling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 data on wednesday also showed manufacturing output rose at its fastest rate since may last month  reinforcing a view that economic growth was stronger than forecasts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   consumer spending is still high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  mr gopinath said the planes will connect regional indian cities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 the government has delayed the building of a number of power plants in an effort to rein in growth amid concerns that the economy may overheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7% in 2004  growth was driven by export sales and lost some of its momentum in the last three months of the year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 the ukraine s new president  viktor yushchenko  will also be there - as will newly elected palestinian leader mahmoud abbas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 kpmg  fannie mae s independent auditor  will also be replaced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 next week  the commission will present revised proposals to meet the lisbon goals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  it was clearly a source of uncertainty for the company - it was a long cruise  after all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2% off the growth rate  while the falling dollar means products shipped to the us are becoming relatively more expensive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the company also said 12 senior executives - none of whom were involved directly in the accounting of the revised figures - have voluntarily agreed to repay to bonuses awarded in 2003 totalling $8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 in 2001  he took over the reins in europe  mcdonald s second most important market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 it has lost 7% this year  while against the japanese yen it is down 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 weaker exports  normally the engine for japan s economy in the face of weak domestic demand  had helped trigger a 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the fdi relaxation coupled with rapid local market growth could really ignite interest in the indian telecommunication industry   added ernst and young s sanjay mehta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 mr bush  however  has said the best way to halt the dollar s slide is to deal with the us deficit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 wmc itself  however  has no objection in principle to being bought out  having spun off its aluminium operations in 2002 to make itself a more tempting target - as long as the price is right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 under money purchase schemes  employees pay into a pension fund which is used to buy an annuity - a policy which pays out an income until death - on retirement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 altogether  the agency ordered 30 projects halted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 administrators of the ranch  however  have complained that pro-chavez squatters have taken over 80% of the property in the last four years  and the uk government has asked venezuelan authorities to resolve the conflict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 not everyone is convinced the plan will work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 it says it wants  fair and reasonable guidelines  on splitting the financial burden with the creditors  who now own 99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 they included the textiles  apparel  tobacco  chemicals and transportation sectors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77bn) in fresh financial backing  half of it from other companies in the mitsubishi group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com survivors such as amazon has helped revive its fortunes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 analysts attributed the falls to excessive expectations in some quarters  fuelled by the dramatic outperformance of google on tuesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 monsanto also has admitted to paying bribes to a number of other high-ranking officials between 1997 and 2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 travelers had sales of $5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  he isn t bringing any money into the club; he ll use our money to buy it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40; £10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6bn - based on an original debt of $81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  selling the fiat s car-making unit may not prove so simple  analysts say  especially as it is a company that is so closely linked to italy s industrial heritage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  it s the brazil business that s doing it   said ing analyst gerard rijk of inbev s strong performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 a lawyer for the victims  eduardo contreras  told reuters news agency:  this demonstrates that the horrors of the pinochet dictatorship are not a mystery to anyone and that the whole world knows his victims deserve reparations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 for january  implying gdp growth at 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  dismal reports from the retail trade about christmas sales are worrying  if they indicate a more general weakening in consumer spending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  over the last two years the company has implemented extensive voluntary counselling and testing for hiv infection  coupled with anti-retroviral therapy for employees progressing to aids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 china s currency remains pegged to the dollar and the us currency s sharp falls in recent months have therefore made chinese export prices highly competitive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 it made a loss of 27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 mr johannesson also said progress  on the bilateral market access side is accelerating ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 a treasury spokesperson dismissed the latest claims  saying it was  on track to meeting spending rules and the golden rule in the current cycle and beyond ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 the next step is for the supreme court to annul the sale altogether  opening the way for krivorizhstal to be resold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67 a barrel  which was reached in october  prices are now well above 2004 s average of $41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 before the process gets under way  all 148 wto members must give their backing to applicant countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9% to 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 the world s biggest insurance broker marsh & mclennan said last week it would pay $850m to settle charges  raised by new york attorney general eliot spitzer in october  that it sought to rig bids in conjunction with insurers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  i can confirm that bafin has passed through the case to the public prosecutor   a bafin spokeswoman said,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 china is expected to face renewed pressure to abandon its fixed exchange rate  which g7 nations  in particular the us  have blamed for a surge in cheap chinese exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 cold weather across europe has also put upward pressure on crude prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 sales of bottled water also fell  although chocolate  coffee  frozen goods and petcare products performed better,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   the industries ge is in are doing very well,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  as part of its pitch to bring listings to london  the lse is thought to be highlighting the extra costs and red-tape imposed by new us laws passed since the enron scandal  whilst stressing london s strong regulatory environment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  i don t want to leave you with the impression that these were the only ones involved   he said,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 defense lawyers contended that mr royer had been feeding information to mr elgindy and another trader in an attempt to expose corporate fraud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 yukos asked the houston court to order russia to arbitration so that it can press claims for billions of dollars in damages over a  campaign of illegal  discriminatory and disproportionate  tax claims,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 verizon s offer is made up of cash  shares and dividends  and a number of investors have said that it undervalues mci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  analysts said fiat seemed to have done well out of the deal  although some predictions had expected a 2bn euro pay-off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   mr glazer s latest move is being led by mr glazer s two sons  avi and joel  according to the financial times,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 in 2003  shareholders did not get a dividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 the results were in line with wall street expectations and shares in gm rose by about 1% in pre-market trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  i think it is primarily an effort to raise some cash   says jose barrionuevo  head of strategy for latin american emerging markets for barclays capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 the latest unemployment figures look set to increase the pressure on the government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  despite insisting he wants to agree a recommended deal with the lse s board  the newspaper suggested he may pull out of the process and put an offer directly to shareholders instead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  despite the record annual profits figure  bp s performance was below the expectations of some city analysts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 trillion costs of the president s plan to revamp state pensions and extend tax cuts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3%  mr chidambaram said - falling short of the new law s requirement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 parliament as a whole - dominated by religious conservatives - will vote on the ruling on tuesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5m on a turnover of £392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 analysts said that consolidation in japan s financial sector was likely to continue and that it was likely to have a positive impact on earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   we have taken the first step toward combining two of the best department store companies in america  creating a new retail company with truly national scope and presence   said terry lundgren  federated s chairman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 that was up from the third quarter  when it fell 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  jp morgan said that it was setting up a $5m scholarship programme for students living in louisiana  the state where the events took place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the uncertainty unleashed by the scandal has prompted three credit rating agencies - standard & poor s  moody s and fitch - to downgrade marsh in recent weeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 in one case  an email showed mr stearns had instructed a colleague to solicit a non-competitive - or  b  - quote from aig that was  higher in premium and more restrictive in coverage  and so fixed the bids in a way that would support the present provider chubb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 so far  including the latest deal  just under $500m (£378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 instead  with russian government coffers brimming with tax revenues from energy sales  s&p said the government s own debt is looking a good bet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 deutsche bank contends yukos filed for bankruptcy earlier this month in texas in a desperate and unsuccessful bid to stave off the 19 december auction of its top unit by the russian government  which was in a tax dispute with yukos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 but it also stressed that it stayed opposed to mr glazer s proposal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  ireland ticks all the boxes as far as international investors are concerned   roy asher  chief investment officer of hibernian investment managers  told reuters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  shares in krispy kreme sank 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 saudi arabia sold 7 million ncci shares  or about 70% of the company s total capital last month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 india imports about 70% of its total oil consumption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  figures released by the government s cabinet office showed that gdp  on an annualised basis  fell 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  interest rates and unemployment are both likely to remain at historically low levels  real household incomes should continue to grow and housing demand is likely to outstrip supply into the medium-term,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 according to il sole 24 ore  italy s business newspaper  the government will focus on  opening up markets  infrastructure  research  making more incentives available  bankruptcy law  the slow pace of the justice system ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7bn; 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5bn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  foreign investors can enter any construction development area  be it to build resorts  townships or commercial premises but they will have to construct at least 50 000 square meters (538 000 square feet) within a specific timeframe   said mr nath  without specifying the timeframe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2bn (£82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4% to $27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-a-share takeover proposal offered a  excellent strategic fit  but undervalued the company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 referring to the space as work will give those around you a clear message that this is professional space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the recent rise in coal prices has failed to benefit the company as most of its output had already been sold  it said,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4bn by a previously-unknown group  which was in turn bought up almost immediately by state-controlled oil company rosneft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 in scotland  where prices have remained on an upward path  increases were more  moderate   rics added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3% against the japanese yen to trade at 104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  we are struggling with the gap between companies like electronic arts (ea)  which comes with a high price tag  and the next tier of companies   he explained during a conference in phoenix  arizona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 miners rio tinto and cia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 an inquiry into elan s accounts in 2002 brought the group close to bankruptcy but the firm has been rebuilding itself since  with its share price increasing by almost four-fold last year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 financial analysts broadly welcomed the fed s move and shares traded largely flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   deficits should be allowed to rise above 3%  mr schroeder argued  if countries meet several  mandatory criteria ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5m ounces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  while the world economy has picked up from difficult times just a few years ago  people seem to not have fully absorbed this development  though they are personally experiencing its effects   said pipa director steven kull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 the government is reiterating a 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 some analysts fear the kremlin will continue to use these sort of moves to boost the efforts of the state to regain control over strategically important sectors such as oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  cairn made the discovery after having been granted an extension to their drilling licence in january by indian authorities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   with the enormous displacement of people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 twenty-one thousand people lost their lives in the catastrophes with a cost to the global economy of around $105bn (£54bn),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 she was joined by government and opposition politicians  together with buddhist  hindu  muslim and christian clergy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
